iter	Passed	Remaining
0	163	163190
1	172	85893
2	174	58006
3	176	43976
4	177	35421
5	179	29778
6	183	26041
7	186	23141
8	188	20794
9	190	18884
10	192	17324
11	194	16032
12	196	14902
13	198	13992
14	200	13160
15	202	12471
16	205	11855
17	207	11307
18	209	10813
19	211	10371
20	214	10021
21	217	9656
22	219	9318
23	221	8987
24	223	8703
25	225	8445
26	227	8208
27	231	8019
28	234	7867
29	237	7677
30	240	7502
31	242	7325
32	244	7167
33	248	7056
34	250	6909
35	255	6832
36	258	6722
37	264	6706
38	266	6561
39	267	6425
40	269	6303
41	273	6229
42	274	6108
43	278	6044
44	280	5956445	289	6007
46	293	5943
47	297	5896
48	300	5838
49	302	5741
50	304	5669
51	306	5595252	309	5525353	313	54954	315	5419
5555	320	53956	323	5359
5757	329	53558	333	5311
5959	336	52760	337	5202
61	342	5180
62	346	5157
6363	354	5186464	357	5146565	364	5164
66	368	5135
67	374	5127
68	379	5126969	386	51270	393	5144
71	401	5172
72	410	5211
73	417	5224
74	420	5188
75	427	5199
76	431	5176
77	437	5172
78	443	5169
79	447	5145
80	451	5123
81	459	5141
82	464	5131
83	474	5176
84	482	5192
85	493	5246
86	501	5266
87	504	5233
88	511	5237
89	518	5240
90	522	5220
91	523	5170
92	531	5181
93	538	5193
94	543	5175
95	551	5194
96	563	5242
97	570	5250
98	576	5249
99	577	5201
100	585	5208
101	590	5197
102	592	5159
103	599	5162
104	604	5151
105	606	5116
106	608	5082
107	611	5051
108	614	5020
109	616	4990
110	619	4964
111	624	4950
112	627	4927
113	630	4900
114	633	4874
115	636	4854
116	639	4825
117	641	4798
118	644	4770
119	648	4752
120	651	4734
121	654	4710
122	656	4683
123	659	4656
124	661	4631
125	663	4602
126	667	4586
127	669	4562
128	672	4541
129	675	4518
130	679	4507
131	683	4496
132	686	4472
133	688	4448
134	690	4426
135	693	4405
136	695	4382
137	698	4362
138	701	4344
139	703	4322
140	706	4301
141	709	4285
142	712	4267
143	717	4263
144	720	4247
145	724	4236
146	727	4224
147	736	4241
148	740	4228
149	741	4204
150	745	4194
151	750	4189
152	753	4171
153	756	4153
154	759	4141
155	760	4117
156	765	4111
157	767	4092
158	772	4087
159	777	4081
160	783	4080
161	786	4066
162	789	4055
163	800	4079
164	813	4115
165	819	4118
166	825	4116
167	831	4119
168	836	4115
169	845	4128
170	850	4121
171	854	4115
172	862	4121
173	870	4132
174	884	4169
175	890	4169
176	898	4178
177	903	4173
178	911	4179
179	916	4176
180	922	4172
181	930	4181
182	933	4168
183	937	4156
184	945	4163
185	946	4142
186	951	4134
187	955	4125
188	961	4126
189	968	4130
190	974	4127
191	982	4135
192	986	4124
193	993	4127
194	998	4121
195	1007	4134
196	1016	4144
